intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,interlinear_spacing,weight,peak_number,modular_ratio/interlinear_spacing,class
0.204355,-0.126364,0.335206,0.483538,-1.257711,-0.224934,0.295677,0.664491,-0.466001,-0.239897,F
-0.635027,-0.448263,0.299642,1.407861,0.17234,-0.889332,-0.006326,0.864859,1.68552,-0.691759,Y
0.167323,0.148427,0.278304,-0.289596,0.261718,-1.38763,-0.195078,0.062575,0.968347,-1.057644,H
0.216699,-0.189174,0.352988,-2.20129,0.261718,-0.432558,0.333428,0.115521,-0.310094,-0.455262,A
-0.16596,-0.267686,0.256965,0.051662,0.261718,0.979286,0.220177,-0.396813,-0.341275,0.877313,A
0.006853,0.077766,0.342319,-0.12859,0.261718,-0.598658,0.031425,0.422673,0.064084,-0.442025,F
-0.128929,0.383963,0.23207,1.248675,0.261718,-0.10036,0.257927,1.388511,,-0.110617,A
-0.128929,-0.134216,0.264078,0.430695,0.261718,0.14879,-0.270579,-0.955976,-0.964905,0.415565,F
-0.252367,-0.110662,0.452567,0.888321,0.17234,1.35301,0.182426,-0.95021,-0.060642,1.251624,D
0.73514,-0.283388,0.089814,-1.848127,0.976743,-0.764757,-1.214339,-0.472242,0.968347,0.124928,I
-0.042522,-0.463965,0.392108,0.22699,0.261718,-0.557133,0.748682,0.164156,0.812439,-0.763511,E
-0.042522,0.752968,-0.109344,1.041241,-1.347089,1.020811,0.220177,0.20291,-0.185368,0.920265,F
0.846235,-0.09496,0.182281,-1.981085,0.61923,-1.263055,-1.28984,-1.584065,-0.684271,-0.358881,I
0.229043,0.109171,-0.066668,0.073324,0.261718,1.062336,0.031425,-0.839057,-0.43482,1.069532,A
0.229043,-0.369751,0.484575,0.250174,0.261718,-0.307984,0.371178,0.65855,0.438262,-0.357735,A
0.068573,0.533135,0.488131,0.255665,-0.632064,-0.889332,0.52218,1.211327,-3.397059,-0.949992,A
0.31545,0.540986,0.029355,-0.395163,0.261718,-0.847807,0.069175,1.142013,0.874802,-0.690288,G
0.043885,0.069915,0.285416,0.372779,0.261718,-0.930856,0.408929,1.525487,0.656532,-0.9274,H
-0.054866,0.580242,0.032912,-0.016668,0.261718,0.854712,0.031425,0.445486,0.219991,0.913611,A
-0.351118,-0.244132,0.594823,1.592678,0.797987,0.522513,-1.403091,0.766267,1.373706,1.558331,X
0.451232,-0.267686,0.335206,-0.831336,0.261718,-1.346105,-6.046392,-0.981586,-2.399252,-1.038585,A
0.512951,-0.008597,-0.045329,-1.738144,-1.525845,-0.183409,0.408929,2.464125,0.375899,-0.264248,A
-0.042522,-0.110662,0.40989,1.097277,0.261718,0.979286,0.257927,0.305733,0.064084,0.864679,A
-3.054421,-0.354049,0.264078,-1.957305,-1.078955,-2.467276,-5.933141,-1.036648,-2.430434,-4.199561,A
-0.06721,0.462474,0.10404,0.463129,0.261718,0.14879,0.333428,0.5772,-0.154186,0.126977,F
0.167323,0.226939,0.239183,-0.094813,0.17234,-0.307984,0.106925,-0.053277,-0.902542,-0.218474,A
-0.22768,-0.503221,0.406334,-0.671732,0.261718,-0.224934,0.484429,0.596634,0.251173,-0.343631,E
0.241386,-0.43256,0.349432,-1.029281,0.261718,-0.640182,,-1.154538,-0.185368,-0.549159,F
0.080916,0.164129,0.19295,0.819007,0.261718,0.231839,0.371178,1.154672,-0.341275,0.120479,A
0.15498,0.289748,0.207175,-0.007298,0.17234,-0.972381,0.295677,0.577083,0.251173,-0.899276,G
0.4142,-0.173471,0.392108,-0.130887,0.261718,-0.01731,0.069175,-0.396444,,0.065183,F
-0.178304,-0.338346,0.45968,1.40246,0.797987,0.231839,-1.780595,0.473677,1.155435,1.650914,Y
-3.498799,0.250492,0.23207,1.224178,-4.922215,0.397939,0.52218,0.488918,0.594169,0.178863,W
-0.252367,-0.110662,0.452567,0.888321,0.17234,0.397939,-0.081827,-0.210037,-0.060642,0.534007,D
-0.215336,0.10132,0.235627,-0.280585,0.261718,0.273364,0.220177,0.574094,0.687713,0.267058,E
0.080916,0.062064,0.203619,0.577021,0.261718,0.024215,0.144676,1.125064,0.781258,0.067811,H
0.130292,-0.463965,0.338762,0.26578,0.261718,0.397939,0.295677,0.355592,-0.247731,0.312892,A
-0.00549,0.054213,0.32098,0.804804,0.17234,0.356414,0.144676,0.362815,1.747883,0.377122,X
0.846235,0.014957,-0.052442,0.98795,0.261718,0.06574,0.220177,0.860005,0.126447,0.051199,A
-3.498799,0.745117,0.150273,0.685183,-4.922215,-0.723232,-0.006326,1.218083,-2.087438,-0.53163,A
0.056229,0.007106,0.406334,0.455401,0.261718,1.145386,0.673182,0.066847,0.469443,0.752892,A
-0.079554,0.179832,0.310311,1.179988,-1.257711,-0.723232,0.069175,0.399316,-0.528364,-0.522409,E
0.25373,-0.338346,0.352988,-1.154243,0.17234,-0.557133,0.182426,-0.501656,-0.684271,-0.497503,F
0.167323,-0.322644,0.306755,-0.543548,0.261718,-0.474083,-0.044076,0.144838,0.095265,-0.288491,F
-0.054866,-0.024299,0.079145,0.136282,0.261718,-0.681707,0.144676,0.75854,0.219991,-0.578272,F
0.809204,-0.09496,0.118265,0.987502,0.976743,-0.889332,-0.685833,0.94518,1.654339,-0.299401,I
0.006853,-0.055704,0.335206,1.778897,0.261718,0.397939,0.257927,0.737998,0.438262,0.338014,A
-3.498799,-0.401156,0.352988,0.786513,-4.922215,0.813187,0.333428,-0.080186,-0.403638,0.672955,A
-0.252367,0.062064,0.171611,-0.420108,0.261718,-0.930856,0.031425,-0.219414,0.344717,-0.754952,E
0.266074,0.580242,0.114709,-0.165469,0.261718,-0.01731,0.52218,0.197803,0.001721,-0.184021,A
0.130292,-0.212727,0.324537,0.386474,0.261718,0.564038,0.824183,-0.753493,0.282354,0.164806,F
-0.351118,0.014957,0.214288,0.736624,0.17234,-0.847807,0.295677,1.616545,0.843621,-0.796795,E
0.204355,-0.448263,0.349432,0.689659,0.261718,-0.183409,0.408929,0.900952,0.032902,-0.265743,A
0.117948,0.242641,0.082701,-0.424583,-0.900198,-0.391033,0.106925,-0.488201,0.282354,-0.28444,G
-0.486901,-0.03215,0.196506,-0.633748,0.261718,0.14879,-0.459331,-0.266632,0.843621,0.56922,C
0.080916,0.014957,0.064919,0.346104,0.17234,0.024215,1.654692,0.618826,0.001721,-0.691759,A
0.080916,-0.291239,0.356544,0.226662,0.261718,-0.806282,0.295677,-0.480066,-0.590727,-0.758532,F
0.117948,0.321153,-3.210528,0.642753,0.351096,0.688613,0.408929,0.239022,0.18881,0.498468,A
0.043885,0.572391,0.00446,-0.3331,0.261718,-0.806282,0.257927,-0.036968,0.469443,-0.741233,G
0.25373,-0.338346,C,-1.790689,0.351096,-0.349509,0.710932,0.114123,0.313536,-0.562166,A
-0.00549,-0.071406,0.352988,-0.206676,0.261718,-1.595254,-0.270579,-0.541963,0.095265,,H
-0.252367,0.069915,0.246296,0.52355,0.261718,-0.557133,0.069175,2.006193,1.404887,-0.400736,E
-0.22768,0.250492,0.207175,-0.481276,0.261718,-1.470679,0.333428,0.400054,0.812439,-1.367497,E
-0.104241,-0.456114,0.484575,0.143802,0.261718,0.190314,0.031425,-0.233918,0.001721,0.272398,F
0.624046,-0.071406,0.221401,-0.586246,0.887365,-1.263055,-0.912336,-0.581977,0.375899,-0.565144,I
0.229043,-0.008597,0.175168,0.087408,0.17234,-0.640182,0.710932,0.165865,0.095265,-0.81002,A
0.117948,-0.220579,-3.210528,-1.623238,0.261718,0.854712,0.182426,-1.655747,-0.746634,,A
-0.116585,-0.338346,0.584154,1.143884,0.797987,-0.391033,-1.365341,0.271854,0.874802,0.618465,Y
0.117948,0.627349,0.075589,0.831628,0.261718,0.605563,0.031425,0.370639,0.095265,0.680935,A
-2.523635,-0.346197,-2.349878,-0.775688,0.17234,-0.474083,0.371178,0.574559,-0.029461,-0.505543,F
-0.301743,-0.511072,0.463236,0.710665,0.261718,1.228436,0.408929,-0.819641,0.251173,0.989438,E
0.266074,-0.134216,0.214288,-0.229323,0.261718,-0.515608,0.106925,0.880274,0.064084,-0.406908,F
-0.215336,-0.204876,0.456124,-0.099826,0.17234,0.397939,0.899684,-0.89839,0.251173,0.001122,E
0.229043,0.242641,0.089814,0.12023,0.261718,0.314889,0.710932,-0.082982,-0.185368,0.005486,A
0.241386,0.109171,-0.127126,0.380626,0.17234,0.854712,0.371178,-0.174662,-0.091823,0.681441,A
-0.042522,-0.463965,0.392108,0.22699,0.261718,1.228436,0.597681,-0.44772,0.500624,0.879145,E
0.562327,0.046362,0.210732,-1.052078,0.976743,-1.30458,-1.214339,-1.391464,0.095265,-0.442085,I
-0.054866,0.179832,0.239183,-1.170087,0.261718,0.397939,0.182426,0.572793,1.155435,0.379388,E
0.142636,0.486028,0.025799,0.545422,0.17234,0.439463,0.257927,-1.173274,-1.027268,0.371227,A
-0.030178,0.014957,0.264078,0.374062,0.261718,0.979286,0.069175,0.408092,0.095265,0.970318,A
-0.054866,0.313302,0.05425,0.218427,0.261718,1.020811,-0.308329,-0.320394,0.126447,1.265247,A
-3.498799,19.470188,0.256965,0.105669,-4.922215,-0.432558,0.484429,0.408926,-3.085245,-0.522843,A
-0.128929,0.289748,0.235627,1.057473,0.17234,0.107265,0.106925,1.563503,0.937165,0.161166,E
0.179667,0.321153,0.242739,0.045844,0.17234,-0.141884,0.031425,0.219665,-0.310094,-0.024315,A
-0.116585,-0.079257,0.381439,1.540879,0.17234,1.768258,0.408929,0.49251,1.498432,1.467797,X
0.043885,0.030659,0.537921,-2.244735,0.261718,-0.10036,0.52218,-2.868103,-2.399252,-0.236292,E
,-0.244132,0.594823,1.592678,0.797987,-0.432558,-1.403091,1.545213,2.433876,0.6487,X
-2.276758,0.454623,0.050694,-2.161546,-4.832837,-3.256248,-2.913108,0.731514,-1.682078,-3.798776,A
0.056229,-0.087108,0.089814,1.312409,0.082961,0.314889,0.333428,1.058256,0.157628,0.228023,A
-0.030178,0.022808,0.157386,-0.771451,0.261718,1.602159,-2.460103,-1.686928,-0.43482,-0.654931,H
0.204355,-0.448263,0.349432,0.689659,0.261718,0.024215,0.408929,0.846142,-0.060642,-0.084638,A
0.401857,-0.220579,-3.210528,-1.185513,-1.168333,0.024215,0.144676,-0.704178,-0.403638,0.065351,A
0.303106,0.352558,0.082701,0.703981,0.261718,-0.474083,0.408929,1.006804,0.001721,-0.521094,F
-0.289399,0.093469,0.402778,-0.087353,-1.436467,-0.391033,-0.044076,-0.645485,-0.528364,-0.221067,E
-0.079554,0.187683,-0.070224,0.211236,0.261718,1.228436,0.182426,-0.590928,0.251173,1.135823,A
0.09326,0.2976,-0.013322,0.1091,0.261718,0.480988,0.295677,-0.210794,-0.715453,0.38826,A
-0.22768,-0.503221,0.406334,-0.671732,0.261718,0.688613,0.295677,0.670899,0.656532,0.558985,E
-0.449869,-0.291239,0.434785,-0.068824,0.261718,-0.307984,,0.789333,0.874802,-0.477888,E
-0.560964,0.329004,0.296086,0.755571,0.261718,0.190314,0.257927,0.55029,0.781258,0.144807,E
-0.215336,-0.142067,0.096927,-0.184417,0.261718,-1.30458,0.295677,-1.416529,-0.43482,-1.207574,E
0.117948,0.556689,-0.009765,-0.57261,0.261718,-1.346105,0.333428,-0.084963,-0.372457,-1.271888,F
0.241386,-0.126364,0.417003,0.096091,0.17234,-0.474083,0.408929,-0.356312,-0.060642,-0.533029,A
0.043885,-0.079257,0.061363,0.565085,0.261718,0.024215,-0.006326,0.388036,-0.247731,0.159056,A
-0.202992,-0.016448,0.594823,-1.581822,-0.363929,-1.553729,-0.195078,0.536311,0.18881,-1.21101,E
-0.215336,-0.102811,0.360101,0.941284,0.17234,0.024215,-0.157328,0.536389,0.750076,0.252544,E
-0.128929,0.572391,-0.031104,0.319399,0.261718,0.190314,1.050686,0.603178,0.812439,-0.271228,G
0.117948,0.124874,0.128935,0.3837,0.17234,0.605563,0.257927,0.054207,-0.310094,0.536068,A
-0.215336,-0.110662,0.68729,2.04189,0.708609,0.730137,-0.874585,0.443602,0.032902,1.422735,Y
0.25373,0.219088,0.14316,0.720541,0.261718,-0.141884,0.106925,0.87412,0.219991,-0.050582,A
0.389513,0.376111,0.018686,-0.690978,0.082961,-0.432558,0.52218,-0.060111,0.313536,-0.536694,A
0.043885,0.407516,-0.120014,0.281743,0.261718,0.688613,0.52218,0.098513,0.126447,0.458951,A
0.019197,0.077766,0.349432,-0.356523,0.261718,0.273364,0.220177,0.04815,0.032902,0.235667,H
-3.498799,-0.440412,-3.210528,-0.364758,-4.922215,0.522513,0.257927,0.501421,-0.840179,0.449392,A
0.130292,0.007106,0.239183,0.766194,0.261718,0.522513,1.050686,0.067157,-0.310094,0.009126,A
